name,name character_deaths,name character_predictions,allegiances,nobility,gender,has_Allegiance,is_alive,has_dead_rels,culture,mother,father,spouse,house,heir,data_poor
Lord Ashford,,Lord Ashford,Unknown,1,1,0,1,0,Reach,Unknown,Unknown,Unknown,House Ashford,Unknown,1
Luthor Tyrell,,Luthor Tyrell,Unknown,1,1,0,1,1,Reach,Unknown,Unknown,Olenna Redwyne,House Tyrell,Unknown,1
Lyonel Tyrell (lord),,Lyonel Tyrell (lord),Unknown,1,1,0,0,0,Reach,Unknown,Unknown,Unknown,House Tyrell,Unknown,1
Margaery Tyrell,Margaery Tyrell,Margaery Tyrell,House Tyrell,1,0,1,1,1,Reach,Unknown,Unknown,Renly Baratheon,House Tyrell,Unknown,0
Mathis Rowan,Mathis Rowan,Mathis Rowan,House Lannister,1,1,1,1,0,Reach,Unknown,Unknown,Bethany Redwyne,House Rowan,Unknown,0
Orton Merryweather,Orton Merryweather,Orton Merryweather,House Lannister,1,1,1,1,0,Reach,Unknown,Unknown,Taena of Myr,House Merryweather,Unknown,0
Robert Ashford,,Robert Ashford,Unknown,1,1,0,1,0,Reach,Unknown,Unknown,Unknown,House Ashford,Unknown,1
Walys Flowers,,Walys Flowers,Unknown,0,1,0,0,0,Reach,Unknown,Unknown,Unknown,Unknown,Unknown,1
Nymeria,,Nymeria,Unknown,1,0,0,1,0,Rhoynar,Unknown,Unknown,Mors Martell,House Martell,Unknown,1
Brynden Tully,Brynden Tully,Brynden Tully,House Tully,1,1,1,1,1,Rivermen,Unknown,Unknown,Unknown,House Tully,Unknown,0
Catelyn Stark,Catelyn Tully,Catelyn Stark,House Stark,1,0,1,0,1,Rivermen,Unknown,Unknown,Eddard Stark,House Tully,Unknown,0
Clement Piper,Clement Piper,Clement Piper,House Tully,1,1,1,1,0,Rivermen,Unknown,Unknown,Unknown,House Piper,Unknown,0
Edmure Tully,Edmure Tully,Edmure Tully,House Tully,1,1,1,1,1,Rivermen,Unknown,Unknown,Roslin Frey,House Tully,Unknown,0
Edmyn Tully,,Edmyn Tully,Unknown,1,1,0,1,0,Rivermen,Unknown,Unknown,Unknown,House Tully,Unknown,1
Franklyn Frey,,Franklyn Frey,Unknown,1,1,0,1,0,Rivermen,Unknown,Unknown,Unknown,House Frey,Unknown,1
Hoster Tully,Hoster Tully,Hoster Tully,House Tully,1,1,1,0,1,Rivermen,Unknown,Unknown,Minisa Whent,House Tully,Unknown,0
Jason Mallister,Jason Mallister,Jason Mallister,House Stark,1,1,1,1,0,Rivermen,Unknown,Unknown,Unknown,House Mallister,Unknown,0
Lewys Piper,Lewys Piper,Lewys Piper,House Lannister,1,1,1,1,0,Rivermen,Unknown,Unknown,Unknown,House Piper,Unknown,0
Lothar Frey,Lothar Frey,Lothar Frey,None,1,1,0,1,1,Rivermen,Unknown,Unknown,Leonella Lefford,House Frey,Unknown,0
Lymond Lychester,Lymond Lychester,Lymond Lychester,House Tully,1,1,1,1,0,Rivermen,Unknown,Unknown,Unknown,House Lychester,Unknown,0
Marq Piper,Marq Piper,Marq Piper,House Tully,1,1,1,1,0,Rivermen,Unknown,Unknown,Unknown,House Piper,Unknown,0
Medgar Tully,,Medgar Tully,Unknown,1,1,0,0,0,Rivermen,Unknown,Unknown,Unknown,House Tully,Unknown,1
Merrett Frey,Merrett Frey,Merrett Frey,None,1,1,0,0,0,Rivermen,Unknown,Unknown,Mariya Darry,House Frey,Unknown,0
Minisa Whent,,Minisa Whent,Unknown,1,0,0,1,0,Rivermen,Unknown,Unknown,Hoster Tully,House Whent,Unknown,1
Oswell Whent,,Oswell Whent,Unknown,1,1,0,0,1,Rivermen,Unknown,Unknown,Unknown,House Whent,Unknown,1
Roslin Frey,Roslin Frey,Roslin Frey,None,1,0,0,1,1,Rivermen,Unknown,Unknown,Edmure Tully,House Frey,Unknown,0
Shella Whent,,Shella Whent,Unknown,1,0,0,0,1,Rivermen,Unknown,Unknown,Walter Whent,House Whent,Unknown,1
Walder Frey,Walder Frey,Walder Frey,None,1,1,0,1,1,Rivermen,Unknown,Unknown,Perra Royce,House Frey,Unknown,0
Walder Frey (son of Ryman),,Walder Frey (son of Ryman),Unknown,1,1,0,1,0,Rivermen,Unknown,Unknown,Unknown,House Frey,Unknown,1
Walder Rivers,Walder Rivers,Walder Rivers,None,1,1,0,1,0,Rivermen,Unknown,Unknown,Charlton,House Frey,Unknown,0
Godric Borrell,Godric Borrell,Godric Borrell,None,1,1,0,1,0,Sistermen,Unknown,Unknown,Unknown,House Borrell,Unknown,0
Lark,Lark,Lark,Night's Watch,0,1,1,0,0,Sistermen,Unknown,Unknown,Unknown,Night's Watch,Unknown,0
Aemon Estermont,Aemon Estermont,Aemon Estermont,House Baratheon,1,1,1,1,0,Stormlands,Unknown,Unknown,Unknown,House Estermont,Unknown,0
Alyn Estermont,Alyn Estermont,Alyn Estermont,House Baratheon,1,1,1,1,0,Stormlands,Unknown,Unknown,Unknown,House Estermont,Unknown,0
Balon Swann,Balon Swann,Balon Swann,House Lannister,1,1,1,1,0,Stormlands,Unknown,Unknown,Unknown,House Swann,Unknown,0
Criston Cole,,Criston Cole,Unknown,1,1,0,0,0,Stormlands,Unknown,Unknown,Unknown,House Cole,Unknown,1
Eldon Estermont,,Eldon Estermont,Unknown,1,1,0,1,0,Stormlands,Unknown,Unknown,Sylva Santagar,House Estermont,Unknown,1
Jon Connington,Jon Connington,Jon Connington,House Targaryen,1,1,1,1,0,Stormlands,Unknown,Unknown,Unknown,House Connington,Unknown,0
Lomas Estermont,,Lomas Estermont,Unknown,1,1,0,1,0,Stormlands,Unknown,Unknown,Unknown,House Estermont,Unknown,1
Renly Baratheon,Renly Baratheon,Renly Baratheon,House Baratheon,1,1,1,0,1,Stormlands,Unknown,Unknown,Margaery Tyrell,House Baratheon,Unknown,0
Black Balaq,,Black Balaq,Unknown,0,1,0,1,0,Summer Isles,Unknown,Unknown,Unknown,Golden Company,Unknown,1
Chataya,Chataya,Chataya,None,0,0,0,1,0,Summer Isles,Unknown,Unknown,Unknown,Chataya's brothel,Unknown,0
Jalabhar Xho,Jalabhar Xho,Jalabhar Xho,None,1,1,0,1,0,Summer Isles,Unknown,Unknown,Unknown,summer isles,Unknown,0
Kojja Mo,Kojja Mo,Kojja Mo,None,0,0,0,1,0,Summer Isles,Unknown,Unknown,Unknown,Unknown,Unknown,0
Quhuru Mo,Quhuru Mo,Quhuru Mo,None,0,1,0,1,0,Summer Isles,Unknown,Unknown,Unknown,Unknown,Unknown,0
Tal Toraq,Tal Toraq,Tal Toraq,House Targaryen,0,1,1,1,0,Summer Isles,Unknown,Unknown,Unknown,House Targaryen,Unknown,0
Xhondo,Xhondo,Xhondo,None,0,1,0,1,0,Summer Isles,Unknown,Unknown,Unknown,Unknown,Unknown,0
Loras Tyrell,Loras Tyrell,Loras Tyrell,House Tyrell,1,1,1,1,1,Reach,Unknown,Unknown,Unknown,House Tyrell,Unknown,0
Alequo Adarys,,Alequo Adarys,Unknown,0,1,0,0,0,Tyroshi,Unknown,Unknown,Unknown,Band of Nine,Unknown,1
Collio Quaynis,,Collio Quaynis,Unknown,0,1,0,1,0,Tyroshi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Daario Naharis,Daario Naharis,Daario Naharis,House Targaryen,0,1,1,1,0,Tyroshi,Unknown,Unknown,Unknown,Stormcrows,Unknown,0
Greenbeard,,Greenbeard,Unknown,1,1,0,1,0,Tyroshi,Unknown,Unknown,Unknown,Brotherhood without banners,Unknown,1
Ollo Lophand,Ollo Lophand,Ollo Lophand,Night's Watch,0,1,1,0,0,Tyroshi,Unknown,Unknown,Unknown,Night's Watch,Unknown,0
Racallio Ryndoon,,Racallio Ryndoon,Unknown,0,1,0,1,0,Tyroshi,Unknown,Unknown,Unknown,Kingdom of the Three Daughters,Unknown,1
Roro Uhoris,,Roro Uhoris,Unknown,0,1,0,1,0,Tyroshi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Abelar Hightower,,Abelar Hightower,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Hightower,Unknown,1
Addam Frey,,Addam Frey,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Frey,Unknown,1
Addam Marbrand,Addam Marbrand,Addam Marbrand,House Lannister,1,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Marbrand,Unknown,0
Addam Osgrey,,Addam Osgrey,Unknown,1,1,0,0,0,Unknown,Unknown,Unknown,Unknown,House Osgrey,Unknown,1
Addison Hill,,Addison Hill,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Swyft,Unknown,1
Adrack Humble,Adrack Humble,,House Greyjoy,1,1,1,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Aegon Frey (Jinglebell),Aegon Frey (Jinglebell),,None,1,1,0,0,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Aegon Frey (son of Aenys),,Aegon Frey (son of Aenys),Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Frey,Unknown,1
Aegon Frey (son of Stevron),,Aegon Frey (son of Stevron),Unknown,1,1,0,0,0,Unknown,Unknown,Unknown,Unknown,House Frey,Unknown,1
Aegon I Targaryen,,Aegon I Targaryen,Unknown,1,1,0,0,1,Unknown,Valaena Velaryon,Aerion Targaryen,Unknown,House Targaryen,Aenys Targaryen,1
Aegon II Targaryen,,Aegon II Targaryen,Unknown,1,1,0,0,1,Unknown,Alicent Hightower,Viserys I Targaryen,Unknown,House Targaryen,Jaehaerys Targaryen,1
Aegon IV Targaryen,,Aegon IV Targaryen,Unknown,1,1,0,0,1,Unknown,Unknown,Unknown,Unknown,House Targaryen,Daeron II Targaryen,1
Aegon Targaryen,Aegon Targaryen,,House Targaryen,1,1,1,1,1,Unknown,Unknown,Unknown,Unknown,House Targaryen,Unknown,1
Aegon V Targaryen,Aemon Targaryen (son of Maekar I),Aegon V Targaryen,Night's Watch,1,1,1,0,1,Unknown,Dyanna Dayne,Maekar I Targaryen,Unknown,House Targaryen,Duncan Targaryen,0
Aegor Rivers,,Aegor Rivers,Unknown,1,1,0,0,1,Unknown,Unknown,Unknown,Calla Blackfyre,House Bracken,Unknown,1
Aelinor Penrose,,Aelinor Penrose,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Aerys I Targaryen,House Penrose,Unknown,1
Aemma Arryn,,Aemma Arryn,Unknown,1,0,0,0,0,Unknown,Unknown,Unknown,Viserys I Targaryen,House Arryn,Unknown,1
Aemon Costayne,Aemon Costayne,Aemon Costayne,House Lannister,1,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Costayne,Unknown,0
Aemon Rivers,,Aemon Rivers,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Frey,Unknown,1
Aenys Frey,Aenys Frey,Aenys Frey,None,1,0,0,0,0,Unknown,Unknown,Unknown,Tyana Wylde,House Frey,Unknown,0
Aenys I Targaryen,,Aenys I Targaryen,Unknown,1,1,0,0,1,Unknown,Rhaenys Targaryen,Aegon I Targaryen,Unknown,House Targaryen,Aegon Targaryen,1
Aerys I Targaryen,,Aerys I Targaryen,Unknown,1,1,0,0,1,Unknown,Mariah Martell,Daeron II Targaryen,Unknown,House Targaryen,Rhaegel Targaryen,1
Aerys II Targaryen,,Aerys II Targaryen,Unknown,1,1,0,0,1,Unknown,Shaera Targaryen,Jaehaerys II Targaryen,Unknown,House Targaryen,Rhaegar Targaryen,1
Aethan,Aethan,Aethan,Night's Watch,0,1,1,1,0,Unknown,Unknown,Unknown,Unknown,Night's Watch,Unknown,0
Aggar,Aggar,Aggar,House Greyjoy,0,1,1,0,0,Unknown,Unknown,Unknown,Unknown,House Greyjoy,Unknown,0
Alan of Rosby,Alan of Rosby,,Night's Watch,1,1,1,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Alaric of Eysen,,Alaric of Eysen,Unknown,0,1,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Alayaya,Alayaya,Alayaya,None,0,0,0,1,0,Unknown,Unknown,Unknown,Unknown,Chataya's brothel,Unknown,0
Albar Royce,Albar Royce,Albar Royce,House Arryn,1,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Royce of the Gates of the Moon,Unknown,0
Albett,Albett,Albett,Night's Watch,0,1,1,1,0,Unknown,Unknown,Unknown,Unknown,Night's Watch,Unknown,0
Alerie Hightower,Alerie Hightower,Alerie Hightower,House Tyrell,1,0,1,1,0,Unknown,Unknown,Unknown,Mace Tyrell,House Hightower,Unknown,0
Alesander Frey,,Alesander Frey,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Frey,Unknown,1
Alesander Staedmon,Alesander Staedmon,Alesander Staedmon,House Baratheon,1,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Staedmon,Unknown,0
Alester Florent,Alester Florent,Alester Florent,House Baratheon,1,1,1,0,0,Unknown,Unknown,Unknown,Melara Crane,House Florent,Unknown,0
Alester Norcross,,Alester Norcross,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Norcross,Unknown,1
Alester Oakheart,,Alester Oakheart,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Oakheart,Unknown,1
Alicent Hightower,,Alicent Hightower,Unknown,1,0,0,0,1,Unknown,Unknown,Unknown,Viserys I Targaryen,House Hightower,Unknown,1
Alla Tyrell,Alla Tyrell,Alla Tyrell,House Tyrell,1,0,1,1,0,Unknown,Unknown,Unknown,Unknown,House Tyrell,Unknown,0
Allard Seaworth,Allard Seaworth,Allard Seaworth,House Baratheon,1,1,1,0,0,Unknown,Unknown,Unknown,Unknown,House Seaworth,Unknown,0
Alliser Thorne,Alliser Thorne,Alliser Thorne,Night's Watch,0,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Thorne,Unknown,0
Allyria Dayne,,Allyria Dayne,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Dayne,Unknown,1
Alyce,,Alyce,Unknown,0,0,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Alyce Graceford,,Alyce Graceford,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Graceford,Unknown,1
Alyn,Alyn,Alyn,House Stark,0,1,1,0,0,Unknown,Unknown,Unknown,Unknown,House Stark,Unknown,0
Alyn Ambrose,Alyn Ambrose,Alyn Ambrose,House Tyrell,1,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Ambrose,Unknown,0
Alyn Cockshaw,,Alyn Cockshaw,Unknown,1,0,0,0,0,Unknown,Unknown,Unknown,Unknown,House Cockshaw,Unknown,1
Alyn Connington,,Alyn Connington,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Connington,Unknown,1
Alyn Frey,,Alyn Frey,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Frey,Unknown,1
Alyn Haigh,,Alyn Haigh,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Haigh,Unknown,1
Alyn Hunt,,Alyn Hunt,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Hunt,Unknown,1
Alyn Stackspear,Alyn Stackspear,Alyn Stackspear,House Lannister,1,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Stackspear,Unknown,0
Alys Arryn,,Alys Arryn,Unknown,1,0,0,1,1,Unknown,Unknown,Unknown,Elys Waynwood,House Arryn,Unknown,1
Alys Frey,,Alys Frey,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Jared Frey,House Frey,Unknown,1
Alysanne Bracken,,Alysanne Bracken,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Bracken,Unknown,1
Alysanne Bulwer,,Alysanne Bulwer,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Bulwer,Unknown,1
Alysanne Hightower,,Alysanne Hightower,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Arthur Ambrose,House Hightower,Unknown,1
Alysanne Lefford,,Alysanne Lefford,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Lefford,Unknown,1
Alysanne Osgrey,,Alysanne Osgrey,Unknown,1,0,0,0,0,Unknown,Unknown,Unknown,Unknown,House Osgrey,Unknown,1
Alysanne Targaryen,,Alysanne Targaryen,Unknown,1,0,0,0,0,Unknown,Alyssa Velaryon,Aenys I Targaryen,Unknown,House Targaryen,Unknown,1
Alyssa Arryn,,Alyssa Arryn,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Arryn,Unknown,1
Alyssa Blackwood,,Alyssa Blackwood,Unknown,1,0,0,0,0,Unknown,Unknown,Unknown,Walder Frey,House Blackwood,Unknown,1
Alyx Frey,Alyx Frey,Alyx Frey,None,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Frey,Unknown,0
Amabel,,Amabel,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Whent,Unknown,1
Amarei Crakehall,,Amarei Crakehall,Unknown,1,0,0,0,0,Unknown,Unknown,Unknown,Walder Frey,House Crakehall,Unknown,1
Ambrose Butterwell,,Ambrose Butterwell,Unknown,1,1,0,0,0,Unknown,Unknown,Unknown,Lady,House Butterwell,Unknown,1
Amerei Frey,,Amerei Frey,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Pate of the Blue Fork,House Frey,Unknown,1
Amory Lorch,Amory Lorch,Amory Lorch,House Lannister,1,1,1,0,0,Unknown,Unknown,Unknown,Unknown,House Lorch,Unknown,0
Anders Yronwood,,Anders Yronwood,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Yronwood,Unknown,1
Andrew Estermont,Andrew Estermont,Andrew Estermont,House Baratheon,1,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Estermont,Unknown,0
Andrey Charlton,,Andrey Charlton,Unknown,1,1,0,0,0,Unknown,Unknown,Unknown,Unknown,House Charlton,Unknown,1
Andros Brax,,Andros Brax,Unknown,1,1,0,0,0,Unknown,Unknown,Unknown,Unknown,House Brax,Unknown,1
Androw Frey,,Androw Frey,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Frey,Unknown,1
Anguy,Anguy,Anguy,None,0,1,0,1,0,Unknown,Unknown,Unknown,Unknown,Brotherhood without banners,Unknown,0
Annara Farring,,Annara Farring,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Walder Frey,House Farring,Unknown,1
Antario Jast,Antario Jast,Antario Jast,House Lannister,1,1,1,1,0,Unknown,Unknown,Unknown,Lanna Lannister,House Jast,Unknown,0
Anvil Ryn,Anvil Ryn,,None,0,1,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Anya Waynwood,Anya Waynwood,Anya Waynwood,House Arryn,1,0,1,1,0,Unknown,Unknown,Unknown,Unknown,House Waynwood,Unknown,0
Archibald Yronwood,Archibald Yronwood,Archibald Yronwood,House Martell,1,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Yronwood,Unknown,0
Ardrian Celtigar,Ardrian Celtigar,Ardrian Celtigar,House Baratheon,1,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Celtigar,Unknown,0
Argrave the Defiant,,Argrave the Defiant,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Butterwell,Unknown,1
Arlan of Pennytree,,Arlan of Pennytree,Unknown,0,1,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Armond Caswell,,Armond Caswell,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Caswell,Unknown,1
Arneld,Arneld,Arneld,House Lannister,0,1,1,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Arnell,,Arnell,Unknown,0,1,0,1,0,Unknown,Unknown,Unknown,Unknown,Night's Watch,Unknown,1
Arrec Durrandon,,Arrec Durrandon,Unknown,0,1,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,Arlan V Durrandon,1
Arron,Arron,Arron,Night's Watch,0,1,1,1,0,Unknown,Unknown,Unknown,Unknown,Night's Watch,Unknown,0
Arron Qorgyle,Arron Qorgyle,Arron Qorgyle,House Martell,1,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Qorgyle,Unknown,0
Arryk (guard),,Arryk (guard),Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Tyrell,Unknown,1
Arryk (Guard),Arryk (Guard),,House Tyrell,0,1,1,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Arthur Ambrose,,Arthur Ambrose,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Alysanne Hightower,House Ambrose,Unknown,1
Arwood Frey,,Arwood Frey,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Ryella Royce,House Frey,Unknown,1
Arwyn Frey,Arwyn Frey,Arwyn Frey,None,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Frey,Unknown,0
Arwyn Oakheart,Arwyn Oakheart,Arwyn Oakheart,House Tyrell,1,0,1,1,0,Unknown,Unknown,Unknown,Unknown,House Oakheart,Unknown,0
Ashara Dayne,,Ashara Dayne,Unknown,1,0,0,0,0,Unknown,Unknown,Unknown,Unknown,House Dayne,Unknown,1
Aubrey Ambrose,,Aubrey Ambrose,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Ambrose,Unknown,1
Axell Florent,Axell Florent,Axell Florent,House Baratheon,1,1,1,1,1,Unknown,Unknown,Unknown,Unknown,House Florent,Unknown,0
Baelor Hightower,,Baelor Hightower,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Rhonda Rowan,House Hightower,Unknown,1
Baelor I Targaryen,,Baelor I Targaryen,Unknown,0,1,0,0,1,Unknown,Daenaera Velaryon,Aegon III Targaryen,Unknown,Unknown,Unknown,1
Baelor Targaryen (son of Daeron II),,Baelor Targaryen (son of Daeron II),Unknown,1,1,0,0,1,Unknown,Unknown,Unknown,Jena Dondarrion,House Targaryen,Unknown,1
Ballabar,Ballabar,Ballabar,House Lannister,0,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Redwyne,Unknown,0
Balman Byrch,,Balman Byrch,Unknown,1,1,0,0,0,Unknown,Unknown,Unknown,Falyse Stokeworth,House Byrch,Unknown,1
Balon Greyjoy,,Balon Greyjoy,Unknown,0,1,0,0,1,Unknown,Unknown,Quellon Greyjoy,Unknown,Unknown,Theon Greyjoy,1
Bannen,Bannen,Bannen,Night's Watch,0,1,1,0,0,Unknown,Unknown,Unknown,Unknown,Night's Watch,Unknown,0
Barba Bracken,,Barba Bracken,Unknown,1,1,0,0,0,Unknown,Unknown,Unknown,Unknown,House Bracken,Unknown,1
Barbara Bracken,,Barbara Bracken,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Bracken,Unknown,1
Barra,Barra,Barra,None,0,0,0,0,1,Unknown,Unknown,Unknown,Unknown,House Baratheon,Unknown,0
Barre,,Barre,Unknown,0,1,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Barsena,Barsena,,None,0,0,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Barth,,Barth,Unknown,0,1,0,0,0,Unknown,Unknown,Unknown,Unknown,Faith of the Seven,Unknown,1
Barth (brewer),Barth (brewer),Barth (brewer),House Stark,0,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Stark,Unknown,0
Bass,Bass,Bass,Night's Watch,0,1,1,1,0,Unknown,Unknown,Unknown,Unknown,Night's Watch,Unknown,0
Bayard Norcross,Bayard Norcross,Bayard Norcross,House Tyrell,1,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Norcross,Unknown,0
Bearded Ben,Bearded Ben,Bearded Ben,Night's Watch,0,1,1,1,0,Unknown,Unknown,Unknown,Unknown,Night's Watch,Unknown,0
Beardless Dick,,Beardless Dick,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,Brotherhood Without Banners,Unknown,1
Becca,Becca,Becca,House Arryn,0,0,1,1,0,Unknown,Unknown,Unknown,Unknown,House Arryn,Unknown,0
Becca the Baker,Becca the Baker,,None,0,0,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Beck,,Beck,Unknown,0,1,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Bedwyck,Bedwyck,Bedwyck,Night's Watch,0,1,1,1,0,Unknown,Unknown,Unknown,Unknown,Night's Watch,Unknown,0
Belandra,,Belandra,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Martell,Unknown,1
Belaquo,Belaquo,,None,0,1,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Beldecar,,Beldecar,Unknown,0,1,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Belis,,Belis,Unknown,0,1,0,1,0,Unknown,Unknown,Unknown,Unknown,Alchemists' Guild,Unknown,1
Bella,Bella,Bella,None,0,0,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Bellegere Otherys (courtesan),Bellegere Otherys (courtesan),,None,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Bellena Hawick,,Bellena Hawick,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Hosteen Frey,House Hawick,Unknown,1
Ben,Ben,Ben,None,0,1,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ben Blackthumb,,Ben Blackthumb,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Whent,Unknown,1
Ben Bones,Ben Bones,Ben Bones,None,0,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Bolton,Unknown,0
Ben Bushy,,Ben Bushy,Unknown,1,1,0,0,0,Unknown,Unknown,Unknown,Unknown,House Bushy,Unknown,1
Ben Plumm,Ben Plumm,Ben Plumm,None,0,1,0,1,0,Unknown,Unknown,Unknown,Unknown,Second Sons,Unknown,0
Benedar Belmore,Benedar Belmore,Benedar Belmore,House Arryn,1,1,1,1,0,Unknown,Unknown,Unknown,Unknown,House Belmore,Unknown,0
Benedict,,Benedict,Unknown,0,1,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Benedict Broom,,Benedict Broom,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Broom,Unknown,1
Benfrey Frey,Benfrey Frey,Benfrey Frey,None,1,1,0,0,0,Unknown,Unknown,Unknown,Jyanna Frey,House Frey,Unknown,0
Bennard Brune,,Bennard Brune,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Brune of Brownhollow,Unknown,1
Bennet,Bennet,Bennet,None,0,1,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0
Bennis,,Bennis,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Osgrey,Unknown,1
Beric Dondarrion,Beric Dondarrion,Beric Dondarrion,None,1,1,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0
Beron Blacktyde,,Beron Blacktyde,Unknown,1,1,0,1,0,Unknown,Unknown,Unknown,Unknown,House Blacktyde,Unknown,1
Bertram Beesbury,,Bertram Beesbury,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Beesbury,Unknown,1
Bess Bracken,,Bess Bracken,Unknown,1,0,0,1,0,Unknown,Unknown,Unknown,Unknown,House Bracken,Unknown,1
Bessa,,Bessa,Unknown,0,0,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
